Set random seed to 2021
Number of classes: 2
Number of model parameters: 11177538
Length of train/val datasets: 237937, 61915
Length of train/val dataloaders: 24, 7
Using 1 GPUs: GeForce RTX 3090
Max/min/avg number of train datasets: 167122, 70815, 118968.5
Max/min/avg number of test datasets: 43798, 18117, 30957.5
Config:
  - seed: 2021
  - root_dir: croppedData
  - train_batch_size: 10000
  - test_batch_size: 10000
  - lr: 0.001
  - test_ratio: 0.2
  - num_epoch: 200
  - grad_accum_step: 1
  - data_parallel: False
  - optim_type: Adam
  - loss_type: CE
  - model_type: resnet18
  - model_path: ckpt/resnet18_4839_pretrain/best_loss.pth
  - train_isNull: True
  - gray_scale: False
  - use_imagenet_pretrain: True
  - cfg_str: NULL_use_imagenet_pretrain_
  - dest_path: ckpt/resnet18_lr0.001_CE_NULL_use_imagenet_pretrain_


Epoch   1 | Train step   1 | Loss: 1.020994 | Acc: 49.160000%
Epoch   1 | Train step   2 | Loss: 0.821267 | Acc: 64.540000%
Epoch   1 | Train step   3 | Loss: 0.858721 | Acc: 71.053333%
Epoch   1 | Train step   4 | Loss: 0.847990 | Acc: 73.920000%
Epoch   1 | Train step   5 | Loss: 0.795579 | Acc: 76.064000%
Epoch   1 | Train step   6 | Loss: 0.765354 | Acc: 76.748333%
Epoch   1 | Train step   7 | Loss: 0.719520 | Acc: 78.118571%
Epoch   1 | Train step   8 | Loss: 0.685551 | Acc: 78.663750%
Epoch   1 | Train step   9 | Loss: 0.651540 | Acc: 79.420000%
Epoch   1 | Train step  10 | Loss: 0.624417 | Acc: 79.935000%
Epoch   1 | Train step  11 | Loss: 0.602284 | Acc: 80.409091%
Epoch   1 | Train step  12 | Loss: 0.583124 | Acc: 80.887500%
Epoch   1 | Train step  13 | Loss: 0.566721 | Acc: 81.286923%
Epoch   1 | Train step  14 | Loss: 0.551768 | Acc: 81.673571%
Epoch   1 | Train step  15 | Loss: 0.538326 | Acc: 82.034667%
Epoch   1 | Train step  16 | Loss: 0.526325 | Acc: 82.347500%
Epoch   1 | Train step  17 | Loss: 0.516033 | Acc: 82.608235%
Epoch   1 | Train step  18 | Loss: 0.506961 | Acc: 82.837222%
Epoch   1 | Train step  19 | Loss: 0.499068 | Acc: 83.034211%
Epoch   1 | Train step  20 | Loss: 0.491848 | Acc: 83.214500%
Epoch   1 | Train step  21 | Loss: 0.485075 | Acc: 83.376667%
Epoch   1 | Train step  22 | Loss: 0.478679 | Acc: 83.535455%
Epoch   1 | Train step  23 | Loss: 0.472784 | Acc: 83.686522%
Epoch   1 | Train step  24 | Loss: 0.467485 | Acc: 83.785204%
Epoch   1 | Train | Loss: 0.467485 | Acc: 83.785204%
Epoch   1 |  Val  | Loss: 0.418740 | Acc: 86.651054%
Model(loss) saved.
Current best: min_loss = 0.41874, best_acc = 86.65105%
Epoch time: 3m/9.0h


Epoch   2 | Train step   1 | Loss: 0.337285 | Acc: 87.190000%
Epoch   2 | Train step   2 | Loss: 0.340606 | Acc: 86.935000%
Epoch   2 | Train step   3 | Loss: 0.341545 | Acc: 86.793333%
Epoch   2 | Train step   4 | Loss: 0.344163 | Acc: 86.610000%
Epoch   2 | Train step   5 | Loss: 0.345011 | Acc: 86.580000%
Epoch   2 | Train step   6 | Loss: 0.344077 | Acc: 86.603333%
Epoch   2 | Train step   7 | Loss: 0.343649 | Acc: 86.654286%
Epoch   2 | Train step   8 | Loss: 0.344823 | Acc: 86.600000%
Epoch   2 | Train step   9 | Loss: 0.343760 | Acc: 86.624444%
Epoch   2 | Train step  10 | Loss: 0.343113 | Acc: 86.633000%
Epoch   2 | Train step  11 | Loss: 0.342831 | Acc: 86.657273%
Epoch   2 | Train step  12 | Loss: 0.342704 | Acc: 86.643333%
Epoch   2 | Train step  13 | Loss: 0.342186 | Acc: 86.643846%
Epoch   2 | Train step  14 | Loss: 0.341394 | Acc: 86.695000%
Epoch   2 | Train step  15 | Loss: 0.340983 | Acc: 86.715333%
Epoch   2 | Train step  16 | Loss: 0.340339 | Acc: 86.738750%
Epoch   2 | Train step  17 | Loss: 0.339958 | Acc: 86.753529%
Epoch   2 | Train step  18 | Loss: 0.339613 | Acc: 86.777778%
Epoch   2 | Train step  19 | Loss: 0.339331 | Acc: 86.764737%
Epoch   2 | Train step  20 | Loss: 0.339116 | Acc: 86.763000%
Epoch   2 | Train step  21 | Loss: 0.338405 | Acc: 86.796190%
Epoch   2 | Train step  22 | Loss: 0.338387 | Acc: 86.792273%
Epoch   2 | Train step  23 | Loss: 0.338465 | Acc: 86.773478%
Epoch   2 | Train step  24 | Loss: 0.338300 | Acc: 86.772549%
Epoch   2 | Train | Loss: 0.338300 | Acc: 86.772549%
Epoch   2 |  Val  | Loss: 0.326982 | Acc: 87.198579%
Model(loss) saved.
Current best: min_loss = 0.32698, best_acc = 87.19858%
Epoch time: 5m/8.9h


Epoch   3 | Train step   1 | Loss: 0.328429 | Acc: 86.960000%
Epoch   3 | Train step   2 | Loss: 0.326461 | Acc: 87.120000%
Epoch   3 | Train step   3 | Loss: 0.327620 | Acc: 86.963333%
Epoch   3 | Train step   4 | Loss: 0.327844 | Acc: 87.042500%
Epoch   3 | Train step   5 | Loss: 0.327270 | Acc: 87.028000%
Epoch   3 | Train step   6 | Loss: 0.326736 | Acc: 87.070000%
Epoch   3 | Train step   7 | Loss: 0.326609 | Acc: 87.055714%
Epoch   3 | Train step   8 | Loss: 0.326077 | Acc: 87.052500%
Epoch   3 | Train step   9 | Loss: 0.326946 | Acc: 86.953333%
Epoch   3 | Train step  10 | Loss: 0.326707 | Acc: 86.976000%
Epoch   3 | Train step  11 | Loss: 0.326209 | Acc: 86.986364%
Epoch   3 | Train step  12 | Loss: 0.326574 | Acc: 86.950000%
Epoch   3 | Train step  13 | Loss: 0.326496 | Acc: 86.940769%
Epoch   3 | Train step  14 | Loss: 0.325852 | Acc: 86.975714%
Epoch   3 | Train step  15 | Loss: 0.325572 | Acc: 86.990000%
Epoch   3 | Train step  16 | Loss: 0.325134 | Acc: 86.997500%
Epoch   3 | Train step  17 | Loss: 0.325707 | Acc: 86.960000%
Epoch   3 | Train step  18 | Loss: 0.325471 | Acc: 86.952778%
Epoch   3 | Train step  19 | Loss: 0.324866 | Acc: 86.972105%
Epoch   3 | Train step  20 | Loss: 0.324512 | Acc: 86.978500%
Epoch   3 | Train step  21 | Loss: 0.324353 | Acc: 86.974762%
Epoch   3 | Train step  22 | Loss: 0.324010 | Acc: 86.992727%
Epoch   3 | Train step  23 | Loss: 0.323973 | Acc: 86.983478%
Epoch   3 | Train step  24 | Loss: 0.323572 | Acc: 86.989413%
Epoch   3 | Train | Loss: 0.323572 | Acc: 86.989413%
Epoch   3 |  Val  | Loss: 0.312398 | Acc: 87.503836%
Model(loss) saved.
